測鎢,潠備,�梪�,羲攫歎(啋),郔詢歎(啋),郔腴歎(啋),彶攫歎(啋),傖蝠講(嘖),
688381.SH,著兜峚,2023-02-03,47.88,49,47.32,48.32,1933336,
688381.SH,著兜峚,2023-02-06,47.77,48.87,46.02,46.75,2909421,
688381.SH,著兜峚,2023-02-07,46.91,48.84,46.9,47.65,1924406,
688381.SH,著兜峚,2023-02-08,47.37,48.62,45.88,46.04,1590960,
688381.SH,著兜峚,2023-02-09,45.9,48.39,45.11,47.82,2749198,
688381.SH,著兜峚,2023-02-10,47.6,48.98,45.95,46.36,1804080,
688381.SH,著兜峚,2023-02-13,46.29,48.1,46,47.36,1528706,
688381.SH,著兜峚,2023-02-14,47.72,48.68,46.9,47.71,1933291,
688381.SH,著兜峚,2023-02-15,47.93,48.25,47.02,47.5,1121311,
688381.SH,著兜峚,2023-02-16,47.21,48.33,45.24,45.65,2879001,
688381.SH,著兜峚,2023-02-17,45.65,45.9,43.5,43.61,1738728,
688381.SH,著兜峚,2023-02-20,43.21,43.9,42.3,43.51,2331171,
688381.SH,著兜峚,2023-02-21,43.54,44.3,42.62,42.99,1235898,
688381.SH,著兜峚,2023-02-22,42.61,44.13,42.55,43,1062270,
688381.SH,著兜峚,2023-02-23,43,43.48,41.6,42.88,3161347,
688381.SH,著兜峚,2023-02-24,42.35,43.06,41.88,42.5,2604101,
688381.SH,著兜峚,2023-02-27,42.45,43.38,42.13,42.64,2076680,
688381.SH,著兜峚,2023-02-28,42.78,43.13,41.4,42.42,2314479,
688381.SH,著兜峚,2023-03-01,42.2,42.34,40.7,40.83,3538512,
688381.SH,著兜峚,2023-03-02,40.9,41.13,39.2,39.48,3871225,
688381.SH,著兜峚,2023-03-03,40.06,40.75,38.94,39.71,4115006,
688381.SH,著兜峚,2023-03-06,39.86,41.6,39.46,40.97,3185934,
688381.SH,著兜峚,2023-03-07,40.71,40.77,38.65,38.69,3049693,
688381.SH,著兜峚,2023-03-08,38.6,40.3,38.51,39.9,2031639,
688381.SH,著兜峚,2023-03-09,40.09,43.38,40.09,42.45,8134622,
688381.SH,著兜峚,2023-03-10,42.09,42.54,41.08,42.05,3587381,
688381.SH,著兜峚,2023-03-13,42.02,42.5,41.5,42.5,2065208,
688381.SH,著兜峚,2023-03-14,42.5,42.95,41.3,42.57,3240073,
688381.SH,著兜峚,2023-03-15,42.79,43.19,41.85,42.17,2586863,
688381.SH,著兜峚,2023-03-16,42,42.58,41.3,41.31,2121077,
688381.SH,著兜峚,2023-03-17,41.84,42.68,41.25,41.65,3019127,
