´תֲכ,¼ע³ֶ,ָױֶÚ,¿×ֵּ¼Û(װ×),׳מ¸ß¼Û(װ×),׳מµֽ¼Û(װ×),Êױֵּ¼Û(װ×),³ֹ½»ֱ¿(¹ֹ),
301487.SZ,ֳֻ¹ְּû,2023-11-01,48.5,48.75,46.4,46.67,8139577,
301487.SZ,ֳֻ¹ְּû,2023-11-02,46.67,47.39,45.1,45.1,6875624,
301487.SZ,ֳֻ¹ְּû,2023-11-03,45.21,46.06,45.11,45.34,6269519,
301487.SZ,ֳֻ¹ְּû,2023-11-06,45.84,47.7,45.8,47.34,10325688,
301487.SZ,ֳֻ¹ְּû,2023-11-07,47,47.74,46.86,47.74,7419304,
301487.SZ,ֳֻ¹ְּû,2023-11-08,48.22,48.3,46.8,47.18,7337295,
301487.SZ,ֳֻ¹ְּû,2023-11-09,47.02,48.01,46.04,46.17,8112711,
301487.SZ,ֳֻ¹ְּû,2023-11-10,45.94,46.46,45.1,45.26,5520522,
301487.SZ,ֳֻ¹ְּû,2023-11-13,45.65,46.45,45.45,46.22,5108456,
301487.SZ,ֳֻ¹ְּû,2023-11-14,46.3,47.2,46,46.83,5991638,
301487.SZ,ֳֻ¹ְּû,2023-11-15,47.2,53,46.39,49.73,19279940,
301487.SZ,ֳֻ¹ְּû,2023-11-16,48.6,52.2,48.58,49.62,14109460,
301487.SZ,ֳֻ¹ְּû,2023-11-17,48.97,49.86,48.01,48.33,9583708,
301487.SZ,ֳֻ¹ְּû,2023-11-20,48.89,49.48,48.1,49.34,8448901,
301487.SZ,ֳֻ¹ְּû,2023-11-21,49.35,49.49,47.67,47.75,8379591,
301487.SZ,ֳֻ¹ְּû,2023-11-22,47.02,47.58,46.41,46.48,5966627,
301487.SZ,ֳֻ¹ְּû,2023-11-23,46.48,47.58,45.9,47.49,6011637,
301487.SZ,ֳֻ¹ְּû,2023-11-24,47.33,47.33,45.6,45.62,5789262,
301487.SZ,ֳֻ¹ְּû,2023-11-27,45.34,47.22,45.21,46.45,4753180,
301487.SZ,ֳֻ¹ְּû,2023-11-28,46.07,49,45.93,47.95,9092760,
301487.SZ,ֳֻ¹ְּû,2023-11-29,47.43,48.15,46.25,46.3,6750582,
301487.SZ,ֳֻ¹ְּû,2023-11-30,46.01,47.47,45.55,46.65,5593722,
301487.SZ,ֳֻ¹ְּû,2023-12-01,46.22,46.98,45.55,46.87,5469080,
301487.SZ,ֳֻ¹ְּû,2023-12-04,46.75,47.96,46.51,47.06,5255632,
301487.SZ,ֳֻ¹ְּû,2023-12-05,46.59,48.81,45.56,46.91,8581744,
301487.SZ,ֳֻ¹ְּû,2023-12-06,46.01,49.26,46.01,48.12,12281194,
301487.SZ,ֳֻ¹ְּû,2023-12-07,47.4,47.4,46.21,46.52,7771228,
301487.SZ,ֳֻ¹ְּû,2023-12-08,46.5,46.95,45.71,46.65,5135251,
301487.SZ,ֳֻ¹ְּû,2023-12-11,46.31,46.85,45.75,46.85,3643318,
301487.SZ,ֳֻ¹ְּû,2023-12-12,46.88,47.27,46.38,46.48,3999224,
301487.SZ,ֳֻ¹ְּû,2023-12-13,46.5,46.69,45.58,45.69,3918423,
301487.SZ,ֳֻ¹ְּû,2023-12-14,45.89,46.35,45.05,45.15,3575167,
301487.SZ,ֳֻ¹ְּû,2023-12-15,45.4,45.98,45.18,45.6,3294091,
301487.SZ,ֳֻ¹ְּû,2023-12-18,45.31,45.66,43.01,43.2,4916640,
301487.SZ,ֳֻ¹ְּû,2023-12-19,43.5,43.63,42.74,43,2690599,
301487.SZ,ֳֻ¹ְּû,2023-12-20,43.29,43.7,43.03,43.13,2782051,
301487.SZ,ֳֻ¹ְּû,2023-12-21,42.92,42.92,39.98,41.49,6180077,
301487.SZ,ֳֻ¹ְּû,2023-12-22,41.38,43.91,40.15,42.1,7129937,
301487.SZ,ֳֻ¹ְּû,2023-12-25,41.29,43.18,41.12,42.05,4001205,
301487.SZ,ֳֻ¹ְּû,2023-12-26,41.7,42.98,41.7,42.56,4220105,
301487.SZ,ֳֻ¹ְּû,2023-12-27,42.03,42.86,40.75,41.08,4531871,
301487.SZ,ֳֻ¹ְּû,2023-12-28,40.8,43.02,40.8,42.53,7664040,
301487.SZ,ֳֻ¹ְּû,2023-12-29,42.27,42.8,42.06,42.15,5027700,
301487.SZ,ֳֻ¹ְּû,2024-01-02,42.45,42.45,41.38,41.57,3530118,
301487.SZ,ֳֻ¹ְּû,2024-01-03,41.5,41.58,40.36,40.87,3591528,
301487.SZ,ֳֻ¹ְּû,2024-01-04,40.76,40.88,39.4,39.66,3383728,
301487.SZ,ֳֻ¹ְּû,2024-01-05,39.91,40.8,39.18,39.42,3686549,
301487.SZ,ֳֻ¹ְּû,2024-01-08,39.11,39.99,38.5,38.54,2987319,
301487.SZ,ֳֻ¹ְּû,2024-01-09,38.5,39.18,37.23,37.74,4233915,
301487.SZ,ֳֻ¹ְּû,2024-01-10,37.75,38.09,36.67,37.09,3400554,
301487.SZ,ֳֻ¹ְּû,2024-01-11,37.37,39.2,37.01,38.94,6127784,
301487.SZ,ֳֻ¹ְּû,2024-01-12,38.9,39.4,38.3,38.32,3535918,
301487.SZ,ֳֻ¹ְּû,2024-01-15,38.99,39.5,38.3,38.45,3647179,
301487.SZ,ֳֻ¹ְּû,2024-01-16,38.3,38.8,37.62,38.18,3281298,
301487.SZ,ֳֻ¹ְּû,2024-01-17,38.5,38.58,36.86,36.86,3015963,
301487.SZ,ֳֻ¹ְּû,2024-01-18,36.4,37.1,35.5,36.39,3623792,
301487.SZ,ֳֻ¹ְּû,2024-01-19,36.37,37.21,35.64,35.64,2984433,
301487.SZ,ֳֻ¹ְּû,2024-01-22,35.88,35.88,32.8,33.47,4089777,
301487.SZ,ֳֻ¹ְּû,2024-01-23,33,34.3,32.91,33.73,2958898,
301487.SZ,ֳֻ¹ְּû,2024-01-24,33.7,34.28,32.55,33.71,3324139,
301487.SZ,ֳֻ¹ְּû,2024-01-25,33.76,34.83,33.51,34.64,3946734,
301487.SZ,ֳֻ¹ְּû,2024-01-26,34.51,35.13,34.31,34.44,2871054,
301487.SZ,ֳֻ¹ְּû,2024-01-29,35,35.58,33.77,33.8,3342160,
301487.SZ,ֳֻ¹ְּû,2024-01-30,32.93,33.75,32.27,32.35,2685502,
301487.SZ,ֳֻ¹ְּû,2024-01-31,32.35,33.07,30.59,30.59,3231747,
301487.SZ,ֳֻ¹ְּû,2024-02-01,30.8,31.1,29.62,30.18,3217353,
301487.SZ,ֳֻ¹ְּû,2024-02-02,30.18,30.88,27.68,28.7,4243732,
301487.SZ,ֳֻ¹ְּû,2024-02-05,28.71,28.71,25.66,26.25,5122835,
301487.SZ,ֳֻ¹ְּû,2024-02-06,26,28.46,25,27.81,4879489,
301487.SZ,ֳֻ¹ְּû,2024-02-07,27.82,29.61,27.43,27.58,6192992,
301487.SZ,ֳֻ¹ְּû,2024-02-08,28.31,28.5,26.06,28.47,7828277,
301487.SZ,ֳֻ¹ְּû,2024-02-19,28.05,29.26,28.02,29.2,8119461,
301487.SZ,ֳֻ¹ְּû,2024-02-20,29.2,29.93,28.51,29.87,6594393,
301487.SZ,ֳֻ¹ְּû,2024-02-21,29.86,31.78,29.29,30.76,9196881,
301487.SZ,ֳֻ¹ְּû,2024-02-22,30.13,31.29,30.1,31.19,6346328,
301487.SZ,ֳֻ¹ְּû,2024-02-23,31.19,32.6,30.92,32.27,7771274,
301487.SZ,ֳֻ¹ְּû,2024-02-26,32.5,34.63,31.89,32.88,10454371,
301487.SZ,ֳֻ¹ְּû,2024-02-27,32.5,34.17,32.08,34.15,9250155,
301487.SZ,ֳֻ¹ְּû,2024-02-28,34.72,35.7,31.5,31.5,12150026,
301487.SZ,ֳֻ¹ְּû,2024-02-29,31.49,33.2,31.08,32.98,7474185,
301487.SZ,ֳֻ¹ְּû,2024-03-01,33.08,33.53,32.6,33.16,5420102,
301487.SZ,ֳֻ¹ְּû,2024-03-04,33.16,33.42,32.26,32.6,3779036,
301487.SZ,ֳֻ¹ְּû,2024-03-05,32.07,32.41,31.4,31.67,4011859,
301487.SZ,ֳֻ¹ְּû,2024-03-06,31.61,34.17,31.11,33.7,10320325,
301487.SZ,ֳֻ¹ְּû,2024-03-07,33.58,38.03,32.76,36.5,18489528,
301487.SZ,ֳֻ¹ְּû,2024-03-08,35.04,35.51,33.45,34.16,12182177,
301487.SZ,ֳֻ¹ְּû,2024-03-11,33.91,39.12,33.9,36.73,17878637,
301487.SZ,ֳֻ¹ְּû,2024-03-12,36.6,37.06,35.81,36.21,11832339,
301487.SZ,ֳֻ¹ְּû,2024-03-13,35.91,36.23,34.9,35.19,9112864,
301487.SZ,ֳֻ¹ְּû,2024-03-14,35.21,35.39,33.88,34.3,6424326,
301487.SZ,ֳֻ¹ְּû,2024-03-15,34.48,35.69,33.95,35.29,7220723,
301487.SZ,ֳֻ¹ְּû,2024-03-18,35.28,36.5,35.25,35.69,7474237,
301487.SZ,ֳֻ¹ְּû,2024-03-19,35.58,36.17,35,35,6635197,
301487.SZ,ֳֻ¹ְּû,2024-03-20,34.85,35.19,34.5,35,5051803,
301487.SZ,ֳֻ¹ְּû,2024-03-21,35.08,35.1,33.81,34.22,5304324,
301487.SZ,ֳֻ¹ְּû,2024-03-22,34.05,34.36,32.88,33.2,5591283,
301487.SZ,ֳֻ¹ְּû,2024-03-25,33.08,33.25,31.85,32.07,4078545,
301487.SZ,ֳֻ¹ְּû,2024-03-26,32.72,33.94,32.7,33.47,7403245,
301487.SZ,ֳֻ¹ְּû,2024-03-27,32.85,33.2,30.54,30.74,5903142,
301487.SZ,ֳֻ¹ְּû,2024-03-28,30.75,31.84,30.75,31.28,4040413,
301487.SZ,ֳֻ¹ְּû,2024-03-29,31.36,32.26,31.29,31.61,3267381,
301487.SZ,ֳֻ¹ְּû,2024-04-01,31.81,32.75,31.81,32.4,3914966,
301487.SZ,ֳֻ¹ְּû,2024-04-02,32.42,33.18,32.2,32.7,5580141,
301487.SZ,ֳֻ¹ְּû,2024-04-03,32.6,33.11,31.71,31.85,4476412,
301487.SZ,ֳֻ¹ְּû,2024-04-08,31.52,33.84,31.43,32.48,5246136,
301487.SZ,ֳֻ¹ְּû,2024-04-09,32.49,35.27,32.38,35.08,13583100,
301487.SZ,ֳֻ¹ְּû,2024-04-10,35.1,37.17,33.9,35.99,15635628,
301487.SZ,ֳֻ¹ְּû,2024-04-11,34.97,35.36,34,34.36,9759161,
301487.SZ,ֳֻ¹ְּû,2024-04-12,34.38,34.96,31.98,32.25,8518133,
301487.SZ,ֳֻ¹ְּû,2024-04-15,32.2,38.65,32.01,35.05,16948864,
301487.SZ,ֳֻ¹ְּû,2024-04-16,33.5,34.1,28.88,28.96,13710761,
301487.SZ,ֳֻ¹ְּû,2024-04-17,29.5,31.5,29.5,31.09,8720794,
301487.SZ,ֳֻ¹ְּû,2024-04-18,31.36,31.64,30.01,30.89,6995749,
301487.SZ,ֳֻ¹ְּû,2024-04-19,30.84,30.88,29.47,29.71,5317730,
301487.SZ,ֳֻ¹ְּû,2024-04-22,29.42,30.16,28.53,29.84,4192988,
301487.SZ,ֳֻ¹ְּû,2024-04-23,29.68,30.43,29.43,30.04,4068855,
301487.SZ,ֳֻ¹ְּû,2024-04-24,30.03,30.03,29.2,29.92,4080315,
301487.SZ,ֳֻ¹ְּû,2024-04-25,29.45,30.19,28.7,29.49,4418673,
301487.SZ,ֳֻ¹ְּû,2024-04-26,29.19,29.99,28.98,29.61,4527037,
301487.SZ,ֳֻ¹ְּû,2024-04-29,29.62,31.43,29.62,31.12,7835295,
301487.SZ,ֳֻ¹ְּû,2024-04-30,30.87,31.36,30.33,30.5,4257159,
301487.SZ,ֳֻ¹ְּû,2024-05-06,30.8,32.17,30.8,31.88,6734376,
301487.SZ,ֳֻ¹ְּû,2024-05-07,31.96,32.15,31.46,31.81,4107368,
301487.SZ,ֳֻ¹ְּû,2024-05-08,31.59,32.03,30.9,31.07,4625269,
301487.SZ,ֳֻ¹ְּû,2024-05-09,31.94,33.4,31.94,32.5,9721609,
301487.SZ,ֳֻ¹ְּû,2024-05-10,32.09,32.6,31.13,31.36,6758640,
301487.SZ,ֳֻ¹ְּû,2024-05-13,30.48,30.5,29.62,29.91,4680598,
301487.SZ,ֳֻ¹ְּû,2024-05-14,30.2,30.43,29.72,29.95,2722874,
301487.SZ,ֳֻ¹ְּû,2024-05-15,29.96,30.27,29.34,29.59,2815309,
301487.SZ,ֳֻ¹ְּû,2024-05-16,29.49,29.89,29.33,29.46,2479749,
301487.SZ,ֳֻ¹ְּû,2024-05-17,29.41,29.92,29.36,29.92,2662013,
301487.SZ,ֳֻ¹ְּû,2024-05-20,29.96,30.32,29.86,30.03,2609500,
301487.SZ,ֳֻ¹ְּû,2024-05-21,30.26,30.27,29.24,29.78,2982496,
301487.SZ,ֳֻ¹ְּû,2024-05-22,30.41,32.3,30.23,31.14,8644035,
301487.SZ,ֳֻ¹ְּû,2024-05-23,30.24,32.14,29.85,30.78,7630454,
301487.SZ,ֳֻ¹ְּû,2024-05-24,30.52,30.81,29.51,29.59,4617468,
301487.SZ,ֳֻ¹ְּû,2024-05-27,30,30.25,29.53,29.97,2705351,
301487.SZ,ֳֻ¹ְּû,2024-05-28,29.97,29.97,29.05,29.22,3164467,
301487.SZ,ֳֻ¹ְּû,2024-05-29,29.08,29.98,29.08,29.67,3485526,
301487.SZ,ֳֻ¹ְּû,2024-05-30,29.66,29.66,29.04,29.13,2846316,
301487.SZ,ֳֻ¹ְּû,2024-05-31,29.22,29.35,29.05,29.14,2287516,
301487.SZ,ֳֻ¹ְּû,2024-06-03,29.25,29.25,28.16,28.51,3130783,
301487.SZ,ֳֻ¹ְּû,2024-06-04,28.43,28.92,27.38,28.88,3318012,
301487.SZ,ֳֻ¹ְּû,2024-06-05,28.7,29.37,28.4,29.15,3276083,
301487.SZ,ֳֻ¹ְּû,2024-06-06,29,29.35,27.58,27.7,3431444,
301487.SZ,ֳֻ¹ְּû,2024-06-07,27.79,29,27.7,28.41,2662858,
301487.SZ,ֳֻ¹ְּû,2024-06-11,28.24,28.73,27.76,28.6,2233863,
301487.SZ,ֳֻ¹ְּû,2024-06-12,28.41,29.28,28.25,29.27,3101862,
301487.SZ,ֳֻ¹ְּû,2024-06-13,30,30.2,29.18,29.3,4165855,
301487.SZ,ֳֻ¹ְּû,2024-06-14,29.01,29.98,29.01,29.29,4993221,
301487.SZ,ֳֻ¹ְּû,2024-06-17,28.83,30.26,28.78,29.82,4759654,
301487.SZ,ֳֻ¹ְּû,2024-06-18,29.6,29.94,29.5,29.72,2779755,
301487.SZ,ֳֻ¹ְּû,2024-06-19,29.59,29.73,28.84,28.86,2905015,
301487.SZ,ֳֻ¹ְּû,2024-06-20,28.85,29,27.8,27.8,2625464,
301487.SZ,ֳֻ¹ְּû,2024-06-21,27.9001,28.2003,27.0395,27.1095,2455977,
301487.SZ,ֳֻ¹ְּû,2024-06-24,26.8994,26.8994,25.4983,25.5384,2701760,
301487.SZ,ֳֻ¹ְּû,2024-06-25,25.5884,26.5191,25.5184,25.8386,2651915,
301487.SZ,ֳֻ¹ְּû,2024-06-26,25.4783,26.7492,24.9379,26.7092,3666906,
301487.SZ,ֳֻ¹ְּû,2024-06-27,26.469,26.7192,25.8586,25.9387,2101583,
301487.SZ,ֳֻ¹ְּû,2024-06-28,25.6485,26.379,25.6485,25.8786,1869715,
301487.SZ,ֳֻ¹ְּû,2024-07-01,25.9887,26.2489,25.3983,25.9887,1646367,
301487.SZ,ֳֻ¹ְּû,2024-07-02,25.9887,26.2789,25.7485,25.9487,1512658,
301487.SZ,ֳֻ¹ְּû,2024-07-03,25.9387,26.2889,25.5984,26.1788,1782232,
301487.SZ,ֳֻ¹ְּû,2024-07-04,26.7192,27.4798,26.339,26.8393,5247749,
301487.SZ,ֳֻ¹ְּû,2024-07-05,25.8386,26.6192,25.6785,26.1188,2985722,
301487.SZ,ֳֻ¹ְּû,2024-07-08,25.7685,25.9186,23.9372,24.4176,3869936,
301487.SZ,ֳֻ¹ְּû,2024-07-09,24.2975,24.6377,23.7571,24.5877,2872373,
301487.SZ,ֳֻ¹ְּû,2024-07-10,24.2174,24.968,24.2174,24.4276,2021373,
301487.SZ,ֳֻ¹ְּû,2024-07-11,24.7178,25.5084,24.5377,25.4783,3315244,
301487.SZ,ֳֻ¹ְּû,2024-07-12,25.4783,25.7085,25.2482,25.2782,1842873,
301487.SZ,ֳֻ¹ְּû,2024-07-15,25.3182,25.3182,24.6778,24.7678,1749300,
301487.SZ,ֳֻ¹ְּû,2024-07-16,24.7778,25.058,24.5276,24.8979,1316916,
301487.SZ,ֳֻ¹ְּû,2024-07-17,25.008,25.1081,24.6277,24.6978,1875934,
301487.SZ,ֳֻ¹ְּû,2024-07-18,24.5477,24.7778,24.0573,24.5176,2112224,
301487.SZ,ֳֻ¹ְּû,2024-07-19,24.8179,24.988,24.3175,24.7978,2022299,
301487.SZ,ֳֻ¹ְּû,2024-07-22,24.7478,25.1781,24.7478,25.008,1928567,
301487.SZ,ֳֻ¹ְּû,2024-07-23,25.008,25.078,24.1874,24.2174,1679965,
301487.SZ,ֳֻ¹ְּû,2024-07-24,24.0173,24.4176,23.3968,23.4369,2780937,
301487.SZ,ֳֻ¹ְּû,2024-07-25,23.1366,24.1574,23.0666,23.7971,2052700,
301487.SZ,ֳֻ¹ְּû,2024-07-26,23.7671,24.2575,23.7671,24.0373,1740562,
301487.SZ,ֳֻ¹ְּû,2024-07-29,24.0273,24.1474,23.4969,23.657,1714977,
301487.SZ,ֳֻ¹ְּû,2024-07-30,23.3468,23.9072,23.2367,23.647,1501614,
301487.SZ,ֳֻ¹ְּû,2024-07-31,23.7471,24.4676,23.4669,24.4476,2854962,
301487.SZ,ֳֻ¹ְּû,2024-08-01,24.4176,24.8679,24.2575,24.3875,2373300,
301487.SZ,ֳֻ¹ְּû,2024-08-02,24.1774,24.6177,23.8171,23.8572,1925647,
301487.SZ,ֳֻ¹ְּû,2024-08-05,23.667,24.1174,22.6663,22.6663,2753528,
301487.SZ,ֳֻ¹ְּû,2024-08-06,23.0666,23.5469,22.8765,23.1467,2154917,
301487.SZ,ֳֻ¹ְּû,2024-08-07,23.0366,23.2367,22.5662,22.6163,2213559,
301487.SZ,ֳֻ¹ְּû,2024-08-08,22.5162,22.5963,21.8157,21.8857,3157016,
301487.SZ,ֳֻ¹ְּû,2024-08-09,21.5355,21.8657,17.5126,17.5126,27189999,
301487.SZ,ֳֻ¹ְּû,2024-08-12,16.3117,16.3418,14.2703,14.6706,39348357,
301487.SZ,ֳֻ¹ְּû,2024-08-13,14.3803,15.2109,14.2803,15.0008,25495420,
301487.SZ,ֳֻ¹ְּû,2024-08-14,14.8107,15.0508,14.7106,14.7606,14862515,
301487.SZ,ֳֻ¹ְּû,2024-08-15,14.7106,14.9007,14.4204,14.5905,16513382,
301487.SZ,ֳֻ¹ְּû,2024-08-16,14.5204,14.5905,14.1902,14.2202,13795184,
301487.SZ,ֳֻ¹ְּû,2024-08-19,14.2002,14.3303,13.91,13.94,11546800,
301487.SZ,ֳֻ¹ְּû,2024-08-20,13.91,14.3103,13.7999,13.9701,14521328,
301487.SZ,ֳֻ¹ְּû,2024-08-21,13.89,15.7113,13.83,14.8807,29371641,
301487.SZ,ֳֻ¹ְּû,2024-08-22,14.8307,17.8528,14.7006,17.8528,46549367,
301487.SZ,ֳֻ¹ְּû,2024-08-23,17.5726,17.8128,15.7213,15.9915,45511650,
301487.SZ,ֳֻ¹ְּû,2024-08-26,15.8514,18.5433,15.8514,17.7127,48733434,
301487.SZ,ֳֻ¹ְּû,2024-08-27,17.0122,17.2724,16.2117,16.5019,32271577,
301487.SZ,ֳֻ¹ְּû,2024-08-28,16.2017,16.3117,15.6212,15.8514,23007300,
301487.SZ,ֳֻ¹ְּû,2024-08-29,15.7113,17.1824,15.6613,16.5919,33295168,
301487.SZ,ֳֻ¹ְּû,2024-08-30,16.1316,16.9622,15.9915,16.5619,34196682,
301487.SZ,ֳֻ¹ְּû,2024-09-02,16.8721,18.2631,16.612,17.4125,42954808,
301487.SZ,ֳֻ¹ְּû,2024-09-03,17.0623,18.4733,17.0623,18.003,41255064,
301487.SZ,ֳֻ¹ְּû,2024-09-04,17.6627,19.1438,17.6627,18.6034,42797566,
301487.SZ,ֳֻ¹ְּû,2024-09-05,18.6034,18.6034,17.1023,17.3024,35641054,
301487.SZ,ֳֻ¹ְּû,2024-09-06,17.1924,17.6127,16.5419,16.6019,25129355,
301487.SZ,ֳֻ¹ְּû,2024-09-09,16.3818,16.9922,16.2617,16.712,16063468,
301487.SZ,ֳֻ¹ְּû,2024-09-10,16.712,16.712,16.0015,16.3918,16791448,
301487.SZ,ֳֻ¹ְּû,2024-09-11,16.4819,17.6527,16.3918,17.5126,31609432,
301487.SZ,ֳֻ¹ְּû,2024-09-12,17.2924,17.6127,17.0222,17.1824,21691151,
301487.SZ,ֳֻ¹ְּû,2024-09-13,17.2124,17.3525,15.9215,16.0015,21602934,
301487.SZ,ֳֻ¹ְּû,2024-09-18,15.6813,15.8014,15.0308,15.4011,14118265,
301487.SZ,ֳֻ¹ְּû,2024-09-19,15.5012,15.8014,15.1609,15.6913,12975483,
301487.SZ,ֳֻ¹ְּû,2024-09-20,15.6913,15.8614,15.1909,15.261,12748727,
301487.SZ,ֳֻ¹ְּû,2024-09-23,15.251,15.6513,15.1609,15.281,11010288,
301487.SZ,ֳֻ¹ְּû,2024-09-24,15.4811,16.2717,15.231,16.2617,23908634,
301487.SZ,ֳֻ¹ְּû,2024-09-25,16.3418,17.8228,16.3418,17.3225,32518222,
301487.SZ,ֳֻ¹ְּû,2024-09-26,17.3024,17.7127,17.0323,17.6727,23509057,
301487.SZ,ֳֻ¹ְּû,2024-09-27,18.003,20.4947,18.003,20.2646,40144878,
301487.SZ,ֳֻ¹ְּû,2024-09-30,22.5162,24.3175,21.2253,24.3175,42679399,
301487.SZ,ֳֻ¹ְּû,2024-10-08,29.181,29.181,26.6792,29.181,38041963,
301487.SZ,ֳֻ¹ְּû,2024-10-09,27.0294,29.6713,24.7078,24.7478,41660424,
301487.SZ,ֳֻ¹ְּû,2024-10-10,25.4183,27.8801,25.018,26.1788,35351094,
301487.SZ,ֳֻ¹ְּû,2024-10-11,25.018,25.5184,22.5662,23.3268,28806526,
