іъ¬л,Љт≥∆,»’∆Џ,њ™≈ћЉџ(‘™),„оЄяЉџ(‘™),„оµЌЉџ(‘™), ’≈ћЉџ(‘™),≥…љїЅњ(є…),
603116.SH,Їмтят—,2015-09-23,26.47,28.18,26.26,27.15,9172071,
603116.SH,Їмтят—,2015-09-24,27.17,27.6,26.81,27.27,6584354,
603116.SH,Їмтят—,2015-09-25,27.2,27.21,25.3,25.7,6439071,
603116.SH,Їмтят—,2015-09-28,25.75,26.43,25.66,26.3,3881669,
603116.SH,Їмтят—,2015-09-29,25.7,25.97,25.12,25.39,3976668,
603116.SH,Їмтят—,2015-09-30,25.62,26,25.36,25.84,3646517,
603116.SH,Їмтят—,2015-10-08,26.9,27.48,26.3,26.89,6692632,
603116.SH,Їмтят—,2015-10-09,26.84,27.24,26.5,27,5890897,
603116.SH,Їмтят—,2015-10-12,27.1,29.66,27.02,29.06,10437478,
603116.SH,Їмтят—,2015-10-13,28.89,28.99,28.19,28.73,7511444,
603116.SH,Їмтят—,2015-10-14,28.44,29.47,28.04,28.06,7218446,
603116.SH,Їмтят—,2015-10-15,27.9,30.87,27.79,30.87,8874245,
603116.SH,Їмтят—,2015-10-16,32.3,32.63,30.15,30.92,15252105,
603116.SH,Їмтят—,2015-10-19,30.5,31.57,30.08,30.78,10374226,
603116.SH,Їмтят—,2015-10-20,30.59,31.28,30.26,30.9,8520587,
603116.SH,Їмтят—,2015-10-21,31.1,31.1,27.81,27.81,11423827,
603116.SH,Їмтят—,2015-10-22,27.81,28.88,27.09,28.58,8231978,
603116.SH,Їмтят—,2015-10-23,28.54,29.29,28.32,29.06,8365153,
603116.SH,Їмтят—,2015-10-26,29.45,29.99,28.81,29.4,7143874,
603116.SH,Їмтят—,2015-10-27,29.15,29.32,27.9,29.08,6795986,
603116.SH,Їмтят—,2015-10-28,28.82,30.27,28.61,28.93,7879000,
603116.SH,Їмтят—,2015-10-29,29.1,29.5,28.8,29.14,5159108,
603116.SH,Їмтят—,2015-10-30,29.1,30.48,29,29.51,8627634,
603116.SH,Їмтят—,2015-11-02,28.4,30.9,28.03,29.85,9822268,
603116.SH,Їмтят—,2015-11-03,29.9,31.5,29.82,31.37,11955072,
603116.SH,Їмтят—,2015-11-04,31.5,32.45,30.4,32.15,15344736,
603116.SH,Їмтят—,2015-11-05,31.88,32.45,31.11,31.29,11864213,
603116.SH,Їмтят—,2015-11-06,31.4,32.4,31.2,32.02,10678901,
603116.SH,Їмтят—,2015-11-09,32,33.79,31.8,32.98,13836770,
603116.SH,Їмтят—,2015-11-10,32.6,33.5,31.62,32.3,10251999,
603116.SH,Їмтят—,2015-11-11,31.99,35.21,31.69,34.09,12034081,
603116.SH,Їмтят—,2015-11-12,34.3,36.96,33.9,36.28,14327627,
603116.SH,Їмтят—,2015-11-13,35.9,35.96,33,33.19,13730853,
603116.SH,Їмтят—,2015-11-16,32,33.48,31.66,33.3,7480366,
603116.SH,Їмтят—,2015-11-17,33.66,34.24,32.39,32.42,7536769,
603116.SH,Їмтят—,2015-11-18,32.8,32.95,31.58,31.79,5194516,
603116.SH,Їмтят—,2015-11-19,31.85,32.9,31.85,32.89,4849454,
603116.SH,Їмтят—,2015-11-20,32.88,33.22,32.5,32.94,5869695,
603116.SH,Їмтят—,2015-11-23,32.71,34.16,32.66,33.16,6907937,
603116.SH,Їмтят—,2015-11-24,33.09,34.77,33,34.62,8127881,
603116.SH,Їмтят—,2015-11-25,34.43,34.6,33.69,34.31,7062694,
603116.SH,Їмтят—,2015-11-26,34.24,35.18,33.81,34,7031658,
603116.SH,Їмтят—,2015-11-27,33.63,33.63,30.66,31.01,7324747,
603116.SH,Їмтят—,2015-11-30,30.9,31.77,29.11,31.47,6588500,
603116.SH,Їмтят—,2015-12-01,31.3,32.1,30.7,31.19,4916877,
603116.SH,Їмтят—,2015-12-02,31,31.17,29.15,30.64,4072219,
603116.SH,Їмтят—,2015-12-03,30.82,32.09,30.65,32.07,5134835,
603116.SH,Їмтят—,2015-12-04,32,32.4,31.41,31.86,4464212,
603116.SH,Їмтят—,2015-12-07,31.97,32.28,31.6,32.05,3224677,
603116.SH,Їмтят—,2015-12-08,32.2,32.2,31,31.06,3993478,
603116.SH,Їмтят—,2015-12-09,31.06,31.74,30.71,30.93,3170833,
603116.SH,Їмтят—,2015-12-10,30.9,31.25,30.38,30.57,3144490,
603116.SH,Їмтят—,2015-12-11,30.43,30.65,30.1,30.44,2650844,
603116.SH,Їмтят—,2015-12-14,30.18,31.36,29.88,31.24,2784807,
603116.SH,Їмтят—,2015-12-15,31.48,31.48,30.9,31.16,2681029,
603116.SH,Їмтят—,2015-12-16,31.17,32.28,31.15,31.69,4169651,
603116.SH,Їмтят—,2015-12-17,31.82,32.94,31.79,32.85,5663189,
603116.SH,Їмтят—,2015-12-18,32.71,32.78,32.01,32.22,3951063,
603116.SH,Їмтят—,2015-12-21,32.02,33.49,32.01,32.98,5272401,
603116.SH,Їмтят—,2015-12-22,32.69,33.26,32.21,32.98,4198399,
603116.SH,Їмтят—,2015-12-23,33.05,33.88,32.61,32.73,6046709,
603116.SH,Їмтят—,2015-12-24,32.65,33.29,32.3,33.17,4607074,
603116.SH,Їмтят—,2015-12-25,33.15,33.65,32.81,33.06,4232279,
603116.SH,Їмтят—,2015-12-28,33.5,34.46,32.37,32.44,7097982,
603116.SH,Їмтят—,2015-12-29,32.45,32.98,32.1,32.95,3650882,
603116.SH,Їмтят—,2015-12-30,32.97,33,32.39,32.78,3178685,
603116.SH,Їмтят—,2015-12-31,32.55,32.88,31.74,31.78,3468108,
603116.SH,Їмтят—,2016-01-04,31.38,31.79,28.6,28.6,3180671,
603116.SH,Їмтят—,2016-01-05,26.81,28.58,26.8,28.25,4656201,
603116.SH,Їмтят—,2016-01-06,28.3,29.18,28.11,29.02,3818267,
603116.SH,Їмтят—,2016-01-07,28.5,28.52,26.12,26.13,1069701,
603116.SH,Їмтят—,2016-01-08,27,27.24,25.2,26.92,4212834,
603116.SH,Їмтят—,2016-01-11,26.42,27.44,25.23,25.35,3976429,
603116.SH,Їмтят—,2016-01-12,25.69,26.6,25.31,26.21,3204835,
603116.SH,Їмтят—,2016-01-13,26.21,26.68,25.35,25.73,2870528,
603116.SH,Їмтят—,2016-01-14,25,27.15,24.75,26.81,3770777,
603116.SH,Їмтят—,2016-01-15,26.62,26.77,25.09,25.53,3298486,
603116.SH,Їмтят—,2016-01-18,25.02,26.12,25,25.7,2746558,
603116.SH,Їмтят—,2016-01-19,25.66,26.66,25.34,26.65,3852333,
603116.SH,Їмтят—,2016-01-20,26.4,26.7,25.82,26.01,3501067,
603116.SH,Їмтят—,2016-01-21,25.69,26.24,25.11,25.13,2684039,
603116.SH,Їмтят—,2016-01-22,25.3,25.7,25,25.68,2353093,
603116.SH,Їмтят—,2016-01-25,25.89,26.1,25.6,25.78,1915546,
603116.SH,Їмтят—,2016-01-26,25.51,25.55,23.2,23.35,3099478,
603116.SH,Їмтят—,2016-01-27,23.4,23.9,21.68,22.99,3201961,
603116.SH,Їмтят—,2016-01-28,22.89,23.08,21.4,21.66,2345200,
603116.SH,Їмтят—,2016-01-29,21.78,22.7,21.5,22.41,2690342,
603116.SH,Їмтят—,2016-02-01,22.3,22.39,21,21.65,2270795,
603116.SH,Їмтят—,2016-02-02,21.66,22.46,21.6,22.4,2656884,
603116.SH,Їмтят—,2016-02-03,22.1,22.39,21.71,22.29,2023804,
603116.SH,Їмтят—,2016-02-04,22.4,23.88,22.33,23.28,4001876,
603116.SH,Їмтят—,2016-02-05,23.02,23.36,22.7,22.8,2579985,
603116.SH,Їмтят—,2016-02-15,22,22.74,21.74,22.45,1815518,
603116.SH,Їмтят—,2016-02-16,22.53,23.4,22.53,23.33,2756471,
603116.SH,Їмтят—,2016-02-17,23.3,23.58,22.96,23.47,3010495,
603116.SH,Їмтят—,2016-02-18,23.55,24.64,23.31,23.92,4609223,
603116.SH,Їмтят—,2016-02-19,23.55,24.3,23.45,24.03,3314510,
603116.SH,Їмтят—,2016-02-22,24.4,24.53,24.08,24.49,3567124,
603116.SH,Їмтят—,2016-02-23,24.4,24.47,23.82,24.07,2667204,
603116.SH,Їмтят—,2016-02-24,23.96,25.45,23.42,25.03,4965870,
603116.SH,Їмтят—,2016-02-25,24.62,24.73,22.53,22.53,4496669,
603116.SH,Їмтят—,2016-02-26,22.66,22.99,21.88,22.59,2238151,
603116.SH,Їмтят—,2016-02-29,22.43,22.43,20.57,20.96,2376285,
603116.SH,Їмтят—,2016-03-01,20.97,21.68,20.65,21.3,2193654,
603116.SH,Їмтят—,2016-03-02,21.38,22.41,21.2,22.22,2868362,
603116.SH,Їмтят—,2016-03-03,22.08,22.49,22.05,22.23,3092866,
603116.SH,Їмтят—,2016-03-04,22.08,22.2,20.89,21.31,2447510,
603116.SH,Їмтят—,2016-03-07,21.66,22.01,21.35,21.83,1707017,
603116.SH,Їмтят—,2016-03-08,21.79,22.4,20.96,22.28,3317876,
603116.SH,Їмтят—,2016-03-09,21.7,21.95,21.5,21.63,1830619,
603116.SH,Їмтят—,2016-03-10,21.68,21.93,21.3,21.35,1611179,
603116.SH,Їмтят—,2016-03-11,20.93,21.57,20.93,21.47,1387905,
603116.SH,Їмтят—,2016-03-14,21.63,22.41,21.63,22.11,2746339,
603116.SH,Їмтят—,2016-03-15,21.95,22.33,21.62,21.82,1872696,
603116.SH,Їмтят—,2016-03-16,21.91,22.04,21.47,21.57,1519804,
603116.SH,Їмтят—,2016-03-17,21.6,22.25,21.55,22.2,2856478,
603116.SH,Їмтят—,2016-03-18,22.15,23.15,22.09,22.92,4685011,
603116.SH,Їмтят—,2016-03-21,23.08,23.71,22.96,23.54,4329584,
603116.SH,Їмтят—,2016-03-22,23.22,23.44,23.1,23.18,2935550,
603116.SH,Їмтят—,2016-03-23,23.06,24.01,23.06,23.65,3925360,
603116.SH,Їмтят—,2016-03-24,23.31,23.75,23.01,23.18,3454868,
603116.SH,Їмтят—,2016-03-25,23.15,23.41,22.95,23.28,2186597,
603116.SH,Їмтят—,2016-03-28,23.4,23.6,23.06,23.1,2085461,
603116.SH,Їмтят—,2016-03-29,23.09,23.2,22.41,22.52,2093416,
603116.SH,Їмтят—,2016-03-30,22.96,23.29,22.67,23.27,2322904,
603116.SH,Їмтят—,2016-03-31,23.4,23.59,23.24,23.34,2807230,
603116.SH,Їмтят—,2016-04-01,23.23,23.88,23.16,23.85,4056837,
603116.SH,Їмтят—,2016-04-05,23.88,24.34,23.65,24.24,4613021,
603116.SH,Їмтят—,2016-04-06,24.1,24.22,23.81,24.12,3469533,
603116.SH,Їмтят—,2016-04-07,24.13,24.75,23.73,23.8,4457847,
603116.SH,Їмтят—,2016-04-08,23.56,23.69,23.12,23.48,2878018,
603116.SH,Їмтят—,2016-04-11,23.7,24.44,23,24.17,3512811,
603116.SH,Їмтят—,2016-04-12,24.03,24.29,23.56,24.13,2401151,
603116.SH,Їмтят—,2016-04-13,24.19,24.68,24.15,24.4,4609968,
603116.SH,Їмтят—,2016-04-14,24.52,24.98,24.21,24.96,5289337,
603116.SH,Їмтят—,2016-04-15,24.95,24.95,24.6,24.69,3595965,
603116.SH,Їмтят—,2016-04-18,24.39,24.45,23.97,24.07,2859501,
603116.SH,Їмтят—,2016-04-19,24.15,24.34,24.01,24.18,1916126,
603116.SH,Їмтят—,2016-04-20,24.27,24.27,22.03,22.75,3896186,
603116.SH,Їмтят—,2016-04-21,22.74,22.89,22.34,22.43,1979551,
603116.SH,Їмтят—,2016-04-22,22.3,22.8,22.2,22.78,1580697,
603116.SH,Їмтят—,2016-04-25,22.75,23.8,22.41,23.75,3300902,
603116.SH,Їмтят—,2016-04-26,23.1,24.3,23.02,24.22,5157256,
603116.SH,Їмтят—,2016-04-27,24.21,24.79,23.99,24.3,5977462,
603116.SH,Їмтят—,2016-04-28,24.23,24.4,23.25,23.94,3254722,
603116.SH,Їмтят—,2016-04-29,23.68,24.68,23.68,24.62,4862995,
603116.SH,Їмтят—,2016-05-03,24.56,25.25,24.5,25.05,6289382,
603116.SH,Їмтят—,2016-05-04,24.9,25.16,24.5,24.9,4984843,
603116.SH,Їмтят—,2016-05-05,24.75,25.42,24.52,25.15,7278221,
603116.SH,Їмтят—,2016-05-06,25,25.1,23.53,23.6,6775476,
603116.SH,Їмтят—,2016-05-09,23.37,23.53,22.31,22.45,3842318,
603116.SH,Їмтят—,2016-05-10,22.46,22.7,22.4,22.58,2292502,
603116.SH,Їмтят—,2016-05-11,22.8,22.83,22.21,22.22,2506741,
603116.SH,Їмтят—,2016-05-12,22.03,22.03,21.51,21.98,2044665,
603116.SH,Їмтят—,2016-05-13,21.96,22.21,21.85,22.05,1565132,
603116.SH,Їмтят—,2016-05-16,22.05,22.34,21.66,22.3,2096927,
603116.SH,Їмтят—,2016-05-17,22.28,22.32,21.91,22.09,1893100,
603116.SH,Їмтят—,2016-05-18,21.97,21.97,21,21.26,2316598,
603116.SH,Їмтят—,2016-05-19,21.25,21.8,21.22,21.49,1945069,
603116.SH,Їмтят—,2016-05-20,21.3,21.72,21.15,21.68,1453823,
603116.SH,Їмтят—,2016-05-23,21.68,22.21,21.51,22.17,2103707,
603116.SH,Їмтят—,2016-05-24,22.13,22.13,21.69,21.82,1542757,
603116.SH,Їмтят—,2016-05-25,21.95,22.09,21.7,21.83,1386628,
603116.SH,Їмтят—,2016-05-26,21.68,21.9,21.35,21.89,1487358,
603116.SH,Їмтят—,2016-05-27,21.89,22.18,21.69,22.07,2231404,
603116.SH,Їмтят—,2016-05-30,21.85,21.96,21.36,21.74,1402750,
603116.SH,Їмтят—,2016-05-31,21.82,22.85,21.5,22.7,4264041,
603116.SH,Їмтят—,2016-06-01,22.65,22.89,22.52,22.6,3733786,
603116.SH,Їмтят—,2016-06-02,22.44,22.94,22.44,22.87,3226435,
603116.SH,Їмтят—,2016-06-03,22.65,24.48,22.65,23.8,6517190,
603116.SH,Їмтят—,2016-06-06,23.66,23.89,23.26,23.5,3508733,
603116.SH,Їмтят—,2016-06-07,23.52,24.4,23.22,24.06,5006047,
603116.SH,Їмтят—,2016-06-08,23.83,23.9,23.35,23.6,3760864,
603116.SH,Їмтят—,2016-06-13,23.05,23.16,22.1,22.13,3387206,
603116.SH,Їмтят—,2016-06-14,22.12,22.38,22.02,22.35,1672731,
603116.SH,Їмтят—,2016-06-15,22.16,23.23,22,23.09,3844325,
603116.SH,Їмтят—,2016-06-16,23,23.17,22.66,22.77,2706852,
603116.SH,Їмтят—,2016-06-17,22.77,23.22,22.77,22.93,3084877,
603116.SH,Їмтят—,2016-06-20,22.88,23.58,22.4,23.51,4383613,
603116.SH,Їмтят—,2016-06-21,23.5,23.82,22.8,22.98,3840480,
603116.SH,Їмтят—,2016-06-22,22.9,23.45,22.85,23.44,3361566,
603116.SH,Їмтят—,2016-06-23,23.41,23.5,22.92,23.14,2810005,
603116.SH,Їмтят—,2016-06-24,23.14,23.27,22.09,22.59,3595600,
603116.SH,Їмтят—,2016-06-27,22.3,23.14,22.2,23.05,2956361,
603116.SH,Їмтят—,2016-06-28,22.89,23.8,22.73,23.73,5787896,
603116.SH,Їмтят—,2016-06-29,23.68,24.15,23.43,23.85,6036830,
603116.SH,Їмтят—,2016-06-30,23.69,23.8,23.46,23.68,3388564,
603116.SH,Їмтят—,2016-07-01,23.69,23.8606,23.4593,23.7302,2979834,
603116.SH,Їмтят—,2016-07-04,23.379,24.1616,23.379,24.1014,6068250,
603116.SH,Їмтят—,2016-07-05,23.9309,24.0412,23.2385,23.379,28511742,
603116.SH,Їмтят—,2016-07-06,23.379,23.379,22.7268,23.2285,13555141,
603116.SH,Їмтят—,2016-07-07,23.088,24.9643,23.0579,24.5128,20903855,
603116.SH,Їмтят—,2016-07-08,24.2218,24.4426,23.9108,24.1817,13162011,
603116.SH,Їмтят—,2016-07-11,24.0814,24.3723,23.8104,23.8606,11063286,
603116.SH,Їмтят—,2016-07-12,23.9309,24.4626,23.4191,24.4325,11139476,
603116.SH,Їмтят—,2016-07-13,24.6332,24.7837,24.1315,24.3222,11113702,
603116.SH,Їмтят—,2016-07-14,24.3824,24.5329,24.0312,24.3021,7109704,
603116.SH,Їмтят—,2016-07-15,24.2921,24.3824,24.0111,24.1215,5565122,
603116.SH,Їмтят—,2016-07-18,23.981,24.0312,23.69,23.8205,5412116,
603116.SH,Їмтят—,2016-07-19,23.9208,24.3222,23.7703,24.2118,6624653,
603116.SH,Їмтят—,2016-07-20,24.2319,24.2319,23.8606,23.9409,4881800,
603116.SH,Їмтят—,2016-07-21,23.9409,24.0312,23.69,23.7001,6321800,
603116.SH,Їмтят—,2016-07-22,23.67,23.7502,23.379,23.4191,4793200,
603116.SH,Їмтят—,2016-07-25,23.2586,23.5094,23.2385,23.4693,3446409,
603116.SH,Їмтят—,2016-07-26,23.4793,23.6298,23.4292,23.6198,3741805,
603116.SH,Їмтят—,2016-07-27,23.6298,23.6298,22.0445,22.205,8316077,
603116.SH,Їмтят—,2016-07-28,22.1749,22.3656,21.7736,22.0846,4617213,
603116.SH,Їмтят—,2016-07-29,22.0746,22.1649,21.9542,22.0144,2837740,
603116.SH,Їмтят—,2016-08-01,21.9441,21.9441,21.3822,21.5227,3257839,
603116.SH,Їмтят—,2016-08-02,21.4525,21.6933,21.3521,21.6632,3074721,
603116.SH,Їмтят—,2016-08-03,21.5729,21.7435,21.5127,21.6833,2605350,
603116.SH,Їмтят—,2016-08-04,21.6632,21.8438,21.4625,21.7736,2829868,
603116.SH,Їмтят—,2016-08-05,21.7736,21.8438,21.6732,21.7134,2355650,
603116.SH,Їмтят—,2016-08-08,21.7033,21.9441,21.4424,21.914,2545630,
603116.SH,Їмтят—,2016-08-09,21.914,22.1147,21.8237,22.0746,3075065,
603116.SH,Їмтят—,2016-08-10,22.0746,22.1147,21.914,21.9241,2763101,
603116.SH,Їмтят—,2016-08-11,21.894,21.9943,21.6431,21.6532,2639213,
603116.SH,Їмтят—,2016-08-12,21.6532,21.904,21.593,21.894,2274329,
603116.SH,Їмтят—,2016-08-15,21.8739,22.3656,21.8739,22.2953,4708695,
603116.SH,Їмтят—,2016-08-16,22.2753,22.4258,22.185,22.3656,3273650,
603116.SH,Їмтят—,2016-08-17,22.3355,22.5562,22.185,22.496,3584419,
603116.SH,Їмтят—,2016-08-18,22.4559,22.496,22.2351,22.2853,2615315,
603116.SH,Їмтят—,2016-08-19,22.2953,22.4358,22.2351,22.3656,2253905,
603116.SH,Їмтят—,2016-08-22,22.3756,22.3756,22.0846,22.1147,2414564,
603116.SH,Їмтят—,2016-08-23,22.0445,22.1649,22.0043,22.0445,1929858,
603116.SH,Їмтят—,2016-08-24,22.0244,22.2853,21.9943,22.1549,2113872,
603116.SH,Їмтят—,2016-08-25,22.0545,22.0545,21.6933,21.9542,2717219,
603116.SH,Їмтят—,2016-08-26,21.9241,22.1247,21.9241,22.0144,2094460,
603116.SH,Їмтят—,2016-08-29,22.0144,22.195,21.9241,22.1147,1716551,
603116.SH,Їмтят—,2016-08-30,22.1448,22.2552,22.0846,22.1448,1741964,
603116.SH,Їмтят—,2016-08-31,22.1348,22.1649,21.9241,22.0545,1833738,
603116.SH,Їмтят—,2016-09-01,22.0445,22.195,22.0144,22.1348,2429934,
603116.SH,Їмтят—,2016-09-02,22.1047,22.1247,21.8037,21.9341,2154335,
603116.SH,Їмтят—,2016-09-05,21.9642,22.1047,21.894,21.9441,1568036,
603116.SH,Їмтят—,2016-09-06,21.9241,22.1549,21.7033,22.1348,3199385,
603116.SH,Їмтят—,2016-09-07,22.1348,22.2452,22.0244,22.1047,2971037,
603116.SH,Їмтят—,2016-09-08,22.1047,22.4358,22.0946,22.4157,3548194,
603116.SH,Їмтят—,2016-09-09,22.3856,22.3856,22.1147,22.1348,3002643,
603116.SH,Їмтят—,2016-09-12,21.8739,21.8839,21.5127,21.5729,3761856,
603116.SH,Їмтят—,2016-09-13,21.6732,21.7334,21.4826,21.613,1970236,
603116.SH,Їмтят—,2016-09-14,21.5227,21.7033,21.4424,21.5227,2383299,
603116.SH,Їмтят—,2016-09-19,21.6231,21.6933,21.5327,21.6732,1682325,
603116.SH,Їмтят—,2016-09-20,21.6732,21.6732,21.5729,21.603,1341957,
603116.SH,Їмтят—,2016-09-21,21.603,21.6732,21.5729,21.6231,1778229,
603116.SH,Їмтят—,2016-09-22,21.7134,21.7836,21.6331,21.6732,1992254,
603116.SH,Їмтят—,2016-09-23,21.7435,21.7435,21.5327,21.5729,1851555,
603116.SH,Їмтят—,2016-09-26,21.5227,21.5327,21.1214,21.1414,2632619,
603116.SH,Їмтят—,2016-09-27,21.0913,21.2518,21.0511,21.2217,2029305,
603116.SH,Їмтят—,2016-09-28,21.2117,21.2217,21.0913,21.1414,1239976,
603116.SH,Їмтят—,2016-09-29,21.2518,21.3722,21.1816,21.2217,1626735,
603116.SH,Їмтят—,2016-09-30,21.2117,21.3321,21.1715,21.2919,1125969,
603116.SH,Їмтят—,2016-10-10,21.3722,21.6231,21.2719,21.5829,2821275,
603116.SH,Їмтят—,2016-10-11,21.5528,21.7033,21.4826,21.6532,2593383,
603116.SH,Їмтят—,2016-10-12,21.5829,21.6732,21.4926,21.6732,2145398,
603116.SH,Їмтят—,2016-10-13,21.593,21.8739,21.593,21.7936,3370598,
603116.SH,Їмтят—,2016-10-14,21.7334,21.7736,21.4725,21.6231,2003678,
603116.SH,Їмтят—,2016-10-17,21.6431,21.8237,21.3923,21.4725,2317955,
603116.SH,Їмтят—,2016-10-18,21.5026,21.7635,21.4324,21.7535,2354598,
603116.SH,Їмтят—,2016-10-19,21.7635,21.894,21.7033,21.8338,3222764,
603116.SH,Їмтят—,2016-10-20,21.8538,22.0746,21.6833,22.0344,4209512,
603116.SH,Їмтят—,2016-10-21,21.9241,22.4659,21.904,22.1749,9284234,
603116.SH,Їмтят—,2016-10-24,22.2251,22.4458,22.0946,22.3555,6420481,
603116.SH,Їмтят—,2016-10-25,22.3054,22.9776,22.2552,22.6465,7331637,
603116.SH,Їмтят—,2016-10-26,22.6565,22.9475,22.4559,22.6666,6766940,
603116.SH,Їмтят—,2016-10-27,22.7268,22.8271,22.486,22.6766,4174626,
603116.SH,Їмтят—,2016-10-28,22.8271,23.0579,22.3054,22.3656,5158130,
603116.SH,Їмтят—,2016-10-31,22.3656,23.0378,22.0946,22.9576,6483175,
603116.SH,Їмтят—,2016-11-01,22.9375,23.0378,22.7469,22.9776,5050462,
603116.SH,Їмтят—,2016-11-02,22.777,23.2285,22.6064,23.088,6662164,
603116.SH,Їмтят—,2016-11-03,22.8974,23.5797,22.8974,23.389,8867040,
603116.SH,Їмтят—,2016-11-04,23.379,23.6298,23.1582,23.4392,9774933,
