΄ϊΒλ,Ός³Ζ,ΘΥΖΪ,ΏªΕΜΌΫ(Τª),ΧξΈίΌΫ(Τª),ΧξµΝΌΫ(Τª),ΚΥΕΜΌΫ(Τª),³Ι½»ΑΏ(ΉΙ),
603885.SH,ΌªΟιΊ½ΏΥ,2017-10-31,39.843,41.1403,39.7853,41.0538,4102890,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-01,41.025,42.38,40.6502,41.3421,7383707,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-02,40.9385,41.6592,40.3331,40.679,4243663,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-03,40.6502,40.852,40.1313,40.5061,3173620,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-06,40.5061,40.5349,39.5835,39.9006,3651591,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-07,39.9583,39.9583,39.2087,39.4393,4901666,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-08,39.4682,39.7853,39.324,39.497,3451563,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-09,39.3817,40.3331,39.3817,40.2754,3726565,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-10,40.3619,40.5925,39.4105,40.3907,7557624,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-13,40.3042,40.5637,39.9583,40.3042,3898821,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-14,40.5061,41.0538,39.9295,40.7944,7383681,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-15,41.2556,41.8611,41.0827,41.4863,10168520,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-16,41.2556,41.9475,41.1115,41.6592,6045720,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-17,41.6592,42.7548,40.7079,41.4863,11313862,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-20,41.5151,43.1296,39.8141,42.6683,10442489,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-21,42.6106,43.3314,42.0629,42.726,5416160,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-22,42.6106,43.6197,42.38,43.2737,7649789,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-23,42.8989,43.3314,40.1601,40.4196,9112279,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-24,40.3619,41.7746,40.1601,41.3421,9695020,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-27,40.9962,41.4863,39.3817,39.6412,7879180,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-28,39.5835,39.9871,39.2952,39.4682,5972102,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-29,39.497,39.9295,39.3529,39.7853,3931058,
603885.SH,ΌªΟιΊ½ΏΥ,2017-11-30,39.6412,40.1601,38.6033,38.7186,5589508,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-01,38.6033,38.9204,37.8537,37.969,6906131,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-04,37.9978,40.0448,37.796,39.67,9947903,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-05,39.2952,39.9295,38.0555,38.8916,5940178,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-06,38.5744,38.9492,38.1997,38.7763,4815295,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-07,38.6321,39.7565,38.488,39.1799,3512184,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-08,39.151,39.4393,38.6898,39.0069,3604253,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-11,38.9781,40.0736,38.9781,39.7565,4917858,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-12,39.5547,40.0448,39.3817,39.8718,4604085,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-13,39.7853,42.207,39.6412,42.034,12160473,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-14,42.034,42.4088,41.4286,42.2358,5653055,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-15,42.034,42.4953,41.3133,41.8899,5792742,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-18,41.7169,41.7169,40.9097,41.1403,2853625,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-19,41.5151,42.0052,40.5061,41.8034,6504303,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-20,41.5439,43.9368,41.1403,41.8611,9801556,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-21,41.3709,43.0143,41.2268,42.553,7599068,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-22,42.6683,43.4467,42.1205,43.0143,7840436,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-25,42.9854,44.1098,41.7169,41.9475,12901988,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-26,41.025,43.0431,40.9962,42.8701,4780080,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-27,42.5241,42.5818,41.4286,42.0917,6642626,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-28,41.9187,43.2449,41.8034,42.6971,5877020,
603885.SH,ΌªΟιΊ½ΏΥ,2017-12-29,42.6971,44.6864,42.4953,44.081,11059451,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-02,44.081,44.8882,43.8215,44.4846,6828845,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-03,44.1963,46.8775,44.1386,46.7045,10574708,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-04,46.1279,46.9928,45.7243,46.0991,5927377,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-05,46.1279,46.9928,45.6378,46.618,4316156,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-08,48.0883,48.7226,44.9747,45.263,15178222,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-09,45.9261,46.2432,44.9747,45.4648,6013815,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-10,45.4648,45.6954,43.5332,43.9656,10180177,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-11,44.3404,44.6864,43.2161,44.081,6439197,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-12,44.0233,45.1188,43.8792,44.5422,3506238,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-15,44.5134,44.917,42.6106,43.8215,4835268,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-16,44.0233,44.0233,42.0052,43.2737,7646486,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-17,42.7548,43.4467,42.2935,43.1296,4283076,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-18,42.9278,43.1007,42.38,42.7836,3461353,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-19,42.4665,43.5332,42.4665,43.2737,3394071,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-22,43.4179,44.8017,42.8989,44.6864,5926910,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-23,44.4846,45.5513,44.1098,44.4846,4354736,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-24,44.4846,45.436,44.1098,45.0035,4950806,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-25,44.7441,46.9063,44.5422,46.2432,6714356,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-26,46.1279,47.8577,45.9549,46.2144,8114125,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-29,46.5603,46.7045,45.7531,46.0702,3962542,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-30,45.7819,46.8486,45.4936,45.6089,3294859,
603885.SH,ΌªΟιΊ½ΏΥ,2018-01-31,45.6089,46.272,45.09,45.7819,4110276,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-01,45.7819,47.2811,45.5513,45.6954,7539592,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-02,45.4936,45.8108,43.389,45.7819,3421042,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-05,45.8108,47.5982,44.3981,46.791,9834885,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-06,46.0702,47.627,45.263,46.272,8240960,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-07,46.5603,47.6559,44.9747,45.4648,7936143,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-08,45.4648,45.4648,43.2449,44.8017,6869712,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-09,43.4179,43.5332,40.3331,40.5637,7557409,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-12,40.8808,42.8124,40.6502,42.4665,4358480,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-13,43.1584,44.0521,42.5241,43.6197,2109214,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-14,43.6197,44.3981,42.2358,42.9854,2699593,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-22,43.6773,46.3585,43.6485,45.5513,4472554,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-23,45.8108,45.9837,44.6576,45.263,2118445,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-26,45.2918,46.7621,45.2918,46.4738,6958387,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-27,46.5892,46.8198,45.2053,45.8108,6300056,
603885.SH,ΌªΟιΊ½ΏΥ,2018-02-28,44.9747,45.4648,44.6576,45.3495,2709441,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-01,45.1188,45.1188,44.3404,44.8017,3810102,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-02,44.4846,46.6468,44.1386,46.5027,5887819,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-05,46.5027,47.2523,46.1279,46.7045,4942389,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-06,46.4738,47.4252,46.0414,46.1855,4110801,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-07,46.2144,47.2234,45.5513,45.6666,4588905,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-08,45.7819,46.1279,45.0612,45.263,3148507,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-09,45.4071,45.9549,45.1188,45.5225,4723968,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-12,45.6954,46.7045,45.6666,46.3009,6630824,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-13,46.272,46.9351,45.09,45.09,5049580,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-14,45.436,45.5513,44.6864,45.09,4733190,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-15,44.7729,45.6954,44.6576,45.3783,2647020,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-16,45.3783,46.8486,44.917,44.9459,5317561,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-19,44.2539,44.3116,42.6106,43.3026,5276282,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-20,42.8989,43.6485,42.6683,43.2449,2102400,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-21,43.2161,43.5044,42.2935,42.553,3017900,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-22,42.5818,43.2449,42.2358,42.8989,3196349,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-23,42.2935,42.2935,40.5925,41.1403,3994084,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-26,41.1691,41.4574,38.9204,41.1691,2867358,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-27,41.6304,42.4088,41.198,42.3512,3268405,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-28,41.9187,42.2358,40.9962,41.6304,2119840,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-29,41.6304,42.6971,41.0827,42.553,2958365,
603885.SH,ΌªΟιΊ½ΏΥ,2018-03-30,42.553,43.3314,42.2647,42.8124,2287094,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-02,42.8701,43.3314,41.7457,42.0917,2222148,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-03,41.8034,42.1205,41.1403,41.6016,1908191,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-04,41.8034,42.2647,40.9962,41.198,2337119,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-09,41.198,41.7746,40.5637,40.9097,1367299,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-10,40.9097,43.5332,40.679,43.4179,5592756,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-11,43.1007,43.6197,42.6971,42.8701,2080960,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-12,42.8989,43.0719,42.4665,42.5241,1079962,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-13,42.726,43.389,42.38,42.4953,2042738,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-16,42.0917,43.9656,42.0917,43.2449,4111628,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-17,42.6971,43.1007,40.3619,42.1782,2661087,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-18,42.1494,42.6683,41.1691,42.3512,1588806,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-19,41.9187,43.0431,41.8034,42.1494,1777029,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-20,42.2935,42.38,40.7944,41.0538,1784126,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-23,40.9385,41.5439,40.6502,41.198,904674,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-24,41.2556,43.3602,41.2556,43.0719,3623960,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-25,43.2161,43.4179,42.38,43.2161,4100444,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-26,43.1007,44.8017,43.1007,43.2449,5560461,
603885.SH,ΌªΟιΊ½ΏΥ,2018-04-27,43.2449,44.5999,43.2449,44.1098,4370080,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-02,44.5711,44.8305,44.1098,44.3981,1856485,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-03,44.3981,45.1765,43.3026,45.1477,2503312,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-04,44.9459,46.618,44.7729,45.8108,4230910,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-07,45.9837,46.6468,45.4936,46.0991,4051002,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-08,46.0991,46.3874,45.2053,45.9261,2269074,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-09,45.5801,46.2432,45.1477,45.4071,3921886,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-10,45.3206,46.1279,45.2053,45.7531,3991374,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-11,45.9549,45.9549,43.4755,43.7638,6039495,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-14,42.6683,48.0883,42.6395,46.9063,15510563,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-15,47.0504,47.0504,44.6864,45.9261,9693061,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-16,45.8396,46.3297,44.7441,45.7243,7800822,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-17,45.4648,45.6089,44.917,44.9459,3738857,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-18,44.917,45.6954,44.1386,45.3206,2556202,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-21,45.2053,46.9351,45.0035,46.6468,7657326,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-22,46.1279,47.1946,45.6954,46.7045,8177533,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-23,46.7045,47.3676,46.3585,46.4738,6841614,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-24,46.4162,46.8198,45.3783,46.5603,6275192,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-25,46.5315,47.4541,45.9261,46.0414,13555570,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-28,45.7819,48.0595,45.7819,46.964,8209154,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-29,46.445,47.4252,46.3874,46.9928,6987465,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-30,46.4162,47.0504,44.6864,45.2053,4110760,
603885.SH,ΌªΟιΊ½ΏΥ,2018-05-31,45.2053,46.0702,44.9459,45.436,7625126,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-01,44.9747,48.5784,44.9747,48.1172,17728039,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-04,47.9442,49.0109,46.9928,48.9821,12486336,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-05,49.7316,51.029,48.8379,50.4524,15610442,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-06,49.5875,51.0866,48.8091,50.5965,14700795,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-07,50.4524,51.3173,49.7316,50.8848,12843787,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-08,50.3082,50.8848,49.3568,50.0488,6385901,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-11,50.1352,51.029,49.0397,50.7983,11240982,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-12,50.683,53.0471,50.3082,52.211,12756752,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-13,51.9227,52.6146,51.029,51.6056,6625658,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-14,50.9713,51.7497,49.6163,50.5677,6444583,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-15,50.8848,52.1822,50.1352,50.9713,7022965,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-19,50.1641,51.3173,47.0793,49.4433,9792250,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-20,49.0974,49.4433,44.917,47.9442,14296710,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-21,47.7103,49.5228,47.0671,47.3887,5924975,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-22,46.0732,49.2012,46.0732,48.9966,4970220,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-25,49.0258,49.4059,45.6054,46.5117,13503035,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-26,45.7516,46.7748,44.0268,46.2486,7823159,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-27,46.7748,46.7748,43.8806,44.0268,6636443,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-28,43.559,45.0792,42.4189,43.8514,9357800,
603885.SH,ΌªΟιΊ½ΏΥ,2018-06-29,43.559,45.43,43.2959,45.05,7139463,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-02,45.2839,46.1901,44.0852,44.173,4869240,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-03,44.4361,45.1669,41.5126,42.5651,11127775,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-04,43.2667,45.7224,42.5943,45.05,10018184,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-05,45.6931,45.8685,43.2667,43.9098,10311185,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-06,43.2959,45.6054,42.7405,44.8453,7222270,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-09,45.05,47.7395,45.05,46.7456,9722430,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-10,47.2133,47.7395,46.5702,47.0379,5714610,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-11,46.3363,48.675,44.8161,47.6811,13112824,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-12,47.6811,48.3827,47.0087,47.8857,7556794,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-13,47.9149,48.0611,46.8333,47.3303,3315954,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-16,47.1256,47.9149,44.4945,45.547,8019779,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-17,45.4885,46.3655,44.7869,45.8978,6159320,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-18,45.3423,46.0732,43.8514,44.0268,13459478,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-19,44.3776,44.6992,43.2082,43.2375,7549579,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-20,43.6175,44.933,43.2082,44.3191,7251640,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-23,44.7869,45.7516,43.8514,45.6054,6510816,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-24,45.0207,46.5994,44.4653,46.1316,7256255,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-25,45.8685,45.8685,44.4653,44.6699,7866735,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-26,44.7284,45.9855,43.9098,44.2022,7834161,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-27,43.7052,44.056,43.2959,43.6467,4665180,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-30,43.8221,43.8221,40.6356,40.7525,11781752,
603885.SH,ΌªΟιΊ½ΏΥ,2018-07-31,41.1326,41.9219,40.7233,41.5419,6991768,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-01,41.805,42.1558,40.6064,40.7525,6316077,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-02,40.9864,41.0157,38.1799,39.057,8562067,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-03,38.5892,39.7586,38.0338,38.2969,6944160,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-06,38.6769,38.6769,35.9874,36.9229,8607207,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-07,36.5428,37.3029,35.4904,37.2737,9972510,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-08,37.1275,38.0045,36.2505,36.572,6870791,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-09,36.2505,38.443,36.0166,38.0922,7489792,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-10,37.8291,38.7646,37.6829,38.2384,4934914,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-13,37.7414,38.5892,37.2152,38.2092,2886924,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-14,38.2676,38.2676,36.1335,36.7182,8394226,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-15,36.7475,37.566,35.9581,36.3089,8636051,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-16,36.1043,37.5075,35.7827,36.5136,6147170,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-17,36.7475,37.186,34.818,35.2857,7984463,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-20,35.0519,35.2565,33.8533,35.2565,9818956,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-21,35.2857,38.1507,35.1103,37.8876,9435631,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-22,37.7122,38.443,37.0398,37.2737,6467778,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-23,37.3321,37.9753,36.6305,36.9813,5773783,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-24,36.7767,37.8876,36.7182,37.566,4594310,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-27,38.8816,39.817,38.3846,38.7354,8232987,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-28,39.1739,40.4017,38.7354,39.9048,8697650,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-29,40.0509,40.0509,38.7061,39.057,6188843,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-30,39.1739,39.2031,37.7122,38.2969,6751801,
603885.SH,ΌªΟιΊ½ΏΥ,2018-08-31,37.8291,38.0922,36.5428,36.8352,7045224,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-03,36.8059,37.2444,35.7535,36.6013,4084745,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-04,36.6305,37.0983,36.0751,36.8352,3576065,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-05,37.1275,37.7122,36.689,36.8936,5513674,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-06,36.8059,37.3906,34.7595,35.2565,8871448,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-07,35.5196,38.7646,35.4904,37.9461,13628685,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-10,38.5892,38.5892,35.3734,35.6073,8340123,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-11,35.4319,35.9581,34.7888,35.1688,3728842,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-12,35.1688,35.4611,34.8472,35.2565,2116732,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-13,35.6658,36.0751,34.818,35.4904,3269845,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-14,35.4027,36.3966,35.3442,36.0458,4295352,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-17,35.695,36.3089,35.1396,35.9581,2650773,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-18,35.6658,36.7767,35.3734,36.4551,4533021,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-19,36.2505,37.3906,36.0751,37.069,4968399,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-20,37.566,37.8291,36.8352,37.3614,4523565,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-21,37.9753,40.1094,37.5075,39.6124,9764291,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-25,38.0045,38.9108,36.5428,38.3261,5438583,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-26,38.5892,39.3201,38.0045,38.7354,5262971,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-27,38.4723,38.9693,37.6537,38.0922,3526109,
603885.SH,ΌªΟιΊ½ΏΥ,2018-09-28,38.1215,39.1154,37.7414,38.7646,3776636,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-08,37.7122,38.1799,36.689,37.5075,4044845,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-09,37.2737,38.2676,36.4843,36.8644,3338012,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-10,36.8644,37.3614,35.6658,36.3966,4904503,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-11,35.6658,35.812,34.2625,34.4964,5818938,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-12,34.6426,35.3734,33.7071,35.1688,7002652,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-15,35.1688,35.8997,33.941,34.5549,3742573,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-16,34.3502,34.9349,31.1052,32.1577,10626135,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-17,32.1869,32.6839,31.1929,31.9238,3645788,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-18,32.0992,32.6839,31.2222,31.953,5513513,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-19,31.7484,34.0287,31.4853,33.6779,7381772,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-22,35.0519,36.9813,34.4964,36.3674,8352746,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-23,35.9874,36.5428,35.5488,36.192,4985568,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-24,36.9813,37.566,36.1043,36.6305,6201448,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-25,35.3734,36.8059,35.1103,36.5428,5113115,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-26,37.0398,37.2737,36.0751,36.5428,5764507,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-29,36.2505,36.9521,34.5256,35.4319,5462046,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-30,35.5196,36.3966,34.4964,35.7535,7565338,
603885.SH,ΌªΟιΊ½ΏΥ,2018-10-31,36.2797,36.8352,35.6073,36.4259,6476319,
603885.SH,ΌªΟιΊ½ΏΥ,2018-11-01,37.0398,37.186,36.2505,36.8352,10363225,
603885.SH,ΌªΟιΊ½ΏΥ,2018-11-02,39.7586,40.5187,38.2676,40.4602,17055166,
603885.SH,ΌªΟιΊ½ΏΥ,2018-11-05,39.4662,39.9048,38.8816,39.4955,7987319,
603885.SH,ΌªΟιΊ½ΏΥ,2018-11-06,39.1154,40.5187,38.2384,40.1386,8370991,
