Alpha,平均IC,IC标准差,ICIR,IC胜率,显著IC胜率(p<0.05),自相关性,综合得分,排名
alpha050,-0.0061423605115218,0.3748213014919213,-0.0163874371255664,0.4925994449583719,0.0758556891766882,0.0574176575786921,35.2,44
alpha008,0.0048473670176696,0.372031990259025,0.0130294360285918,0.5019796380090498,0.0791855203619909,0.0293193761294005,35.5,45
alpha022,-0.00578645599654,0.3607824234345595,-0.016038630544843,0.4850606909430439,0.0760971055088702,0.0271204439133255,36.0,46
alpha025,-0.0024308475099767,0.3714192224986865,-0.0065447541826818,0.4922118380062305,0.0846785613140753,-0.0146949266449988,36.0,47
alpha009,-0.0018511169841123,0.3791214295903428,-0.0048826493034501,0.4899632456884365,0.0867967203845066,-0.0512112219567472,36.7,48
alpha055,0.0069010225756454,0.3623219218333526,0.0190466603310287,0.4907063197026022,0.0678438661710037,0.0411092899457208,37.5,49
alpha040,-0.0031841255191509,0.3860228734924991,-0.0082485410523549,0.4886940470696816,0.0886017535763728,0.0333160136188814,37.900000000000006,50
alpha026,-0.0050092644112262,0.3648503907046638,-0.0137296397067067,0.4850161364684186,0.0788381742738589,0.0421203083112656,38.599999999999994,51
alpha060,-0.0017344869159957,0.3719559511016752,-0.0046631514050479,0.4980147475893363,0.0816789563244469,-0.0004937535227529,40.300000000000004,52
alpha015,-0.0046778711751566,0.3579407453334404,-0.0130688423604834,0.4890078917700112,0.0704622322435174,0.0080808894521982,40.7,53
alpha011,-0.0013665640151208,0.3661008135922772,-0.0037327532864835,0.4940577249575552,0.0817770232031692,0.0186548152230611,43.3,54
alpha007,-0.0043711842910322,0.3689654022358362,-0.0118471386871071,0.4876981957353745,0.0568616730453799,-0.0248232101559302,44.6,55
alpha081,-0.0046766393197098,0.3693409242751678,-0.012662120583815,0.4683476394849785,0.0622317596566523,-0.0041299262559974,45.9,56
alpha030,-0.0021198442202159,0.3821192506119916,-0.0055475986012766,0.4893122676579926,0.0776022304832713,0.0506453073155562,46.6,57
alpha045,0.0024221420489476,0.3850305046920691,0.0062907796120849,0.4812030075187969,0.0756578947368421,0.0074678901109286,46.7,58
alpha032,0.0030984540998513,0.3712423306774345,0.0083461767255835,0.4853283651606893,0.0712622263623661,0.0344214034708243,47.0,59
alpha013,0.0015304909164342,0.3593863730982977,0.0042586225605601,0.4930614556782781,0.0753327669215519,0.0082955313723386,47.099999999999994,60
alpha021,0.0046186015106928,0.3733372937054987,0.0123711228118992,0.4667609618104668,0.0565770862800565,0.0200306614475554,49.5,61
alpha099,0.0036975210481896,0.3636341066179093,0.0101682459947982,0.4577871001573151,0.0529627687467226,0.0270236603868633,52.49999999999999,62
alpha084,-0.0014641283971041,0.373688634871212,-0.0039180436879187,0.4780821917808219,0.0438356164383561,-0.0106261364159593,55.6,63
alpha027,,,,,,,,64
alpha068,,,,,,,,65
alpha086,,,,,,,,66
